Campaign,BioProjectID,AccessionNr
ODS18_16S,PRJEB40757,ERP124424
OSD18_18S,PRJEB40759,ERP124426
OSD18_MG,PRJEB40760,ERP124427
OSD19_16S,PRJEB40762,ERP124431
OSD19_18S,PRJEB40763,ERP124432
OSD19_MG,PRJEB40764,ERP124433
