Nr,MaterialSampleID,EventID,SampleID,ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
2,OSD2_2019-06_1_NPL022,OSD2_2019-06,OSD2_2019-06_NPL022_1,SAMEA7422988,PRJEB40763,PRJEB40764,PRJEB40762
4,OSD4_2019-06_1_NPL022,OSD4_2019-06,OSD4_2019-06_NPL022_1,SAMEA7422987,PRJEB40763,PRJEB40764,PRJEB40762
14,OSD14_2019-06_1_NPL022,OSD14_2019-06,OSD14_2019-06_NPL022_1,SAMEA7422986,PRJEB40763,PRJEB40764,PRJEB40762
17,OSD17_2019-06_1_NPL022,OSD17_2019-06,OSD17_2019-06_NPL022_1,SAMEA7422985,PRJEB40763,PRJEB40764,PRJEB40762
18,OSD18_2019-06_1_NPL022,OSD18_2019-06,OSD18_2019-06_NPL022_1,SAMEA7422984,PRJEB40763,PRJEB40764,PRJEB40762
22,OSD22_2019-06_1_NPL022,OSD22_2019-06,OSD22_2019-06_NPL022_1,SAMEA7422983,PRJEB40763,PRJEB40764,PRJEB40762
24,OSD24_2019-06_1_NPL022,OSD24_2019-06,OSD24_2019-06_NPL022_1,SAMEA7422982,PRJEB40763,PRJEB40764,PRJEB40762
26,OSD26_2019-06_1_NPL022,OSD26_2019-06,OSD26_2019-06_NPL022_1,SAMEA7422981,PRJEB40763,PRJEB40764,PRJEB40762
39,OSD39_2019-06_1_NPL022,OSD39_2019-06,OSD39_2019-06_NPL022_1,SAMEA7422980,PRJEB40763,PRJEB40764,PRJEB40762
43,OSD43_2019-06_1_NPL022,OSD43_2019-06,OSD43_2019-06_NPL022_1,SAMEA7422979,PRJEB40763,PRJEB40764,PRJEB40762
47,OSD47_2019-06_1_NPL022,OSD47_2019-06,OSD47_2019-06_NPL022_1,SAMEA7422978,PRJEB40763,PRJEB40764,PRJEB40762
48,OSD48_2019-06_1_NPL022,OSD48_2019-06,OSD48_2019-06_NPL022_1,SAMEA7422977,PRJEB40763,PRJEB40764,PRJEB40762
49,OSD49_2019-06_1_NPL022,OSD49_2019-06,OSD49_2019-06_NPL022_1,SAMEA7422976,PRJEB40763,PRJEB40764,PRJEB40762
54,OSD54_2019-06_1_NPL022,OSD54_2019-06,OSD54_2019-06_NPL022_1,SAMEA7422975,PRJEB40763,,PRJEB40762
55,OSD55_2019-06_1_NPL022,OSD55_2019-06,OSD55_2019-06_NPL022_1,SAMEA7422974,PRJEB40763,PRJEB40764,PRJEB40762
60,OSD60_2019-06_1_NPL022,OSD60_2019-06,OSD60_2019-06_NPL022_1,SAMEA7422973,PRJEB40763,PRJEB40764,PRJEB40762
63,OSD63_2019-06_1_NPL022,OSD63_2019-06,OSD63_2019-06_NPL022_1,SAMEA7422972,PRJEB40763,PRJEB40764,PRJEB40762
69,OSD69_2019-06_1_NPL022,OSD69_2019-06,OSD69_2019-06_NPL022_1,SAMEA7422971,PRJEB40763,PRJEB40764,PRJEB40762
