Nr,MaterialSampleID,EventID,SampleID,ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
70,OSD70_2019-06_1_NPL022,OSD70_2019-06,OSD70_2019-06_NPL022_1,SAMEA7422970,PRJEB40763,PRJEB40764,PRJEB40762
76,OSD76_2019-06_1_NPL022,OSD76_2019-06,OSD76_2019-06_NPL022_1,SAMEA7422969,PRJEB40763,PRJEB40764,PRJEB40762
77,OSD77_2019-06_1_NPL022,OSD77_2019-06,OSD77_2019-06_NPL022_1,SAMEA7422968,PRJEB40763,PRJEB40764,PRJEB40762
78,OSD78_2019-06_1_NPL022,OSD78_2019-06,OSD78_2019-06_NPL022_1,SAMEA7422967,PRJEB40763,PRJEB40764,PRJEB40762
81,OSD81_2019-06_1_NPL022,OSD81_2019-06,OSD81_2019-06_NPL022_1,SAMEA7422966,PRJEB40763,PRJEB40764,PRJEB40762
91,OSD91_2019-06_1_NPL022,OSD91_2019-06,OSD91_2019-06_NPL022_1,SAMEA7422965,PRJEB40763,PRJEB40764,PRJEB40762
92,OSD92_2019-06_1_NPL022,OSD92_2019-06,OSD92_2019-06_NPL022_1,SAMEA7422964,PRJEB40763,PRJEB40764,PRJEB40762
99,OSD99_2019-06_1_NPL022,OSD99_2019-06,OSD99_2019-06_NPL022_1,SAMEA7422963,PRJEB40763,PRJEB40764,PRJEB40762
100,OSD100_2019-06_1_NPL022,OSD100_2019-06,OSD100_2019-06_NPL022_1,SAMEA7422962,PRJEB40763,PRJEB40764,PRJEB40762
122,OSD122_2019-06_1_NPL022,OSD122_2019-06,OSD122_2019-06_NPL022_1,SAMEA7422961,PRJEB40763,PRJEB40764,PRJEB40762
152,OSD152_2019-06_1_NPL022,OSD152_2019-06,OSD152_2019-06_NPL022_1,SAMEA7422960,PRJEB40763,PRJEB40764,PRJEB40762
153,OSD153_2019-06_1_NPL022,OSD153_2019-06,OSD153_2019-06_NPL022_1,SAMEA7422959,PRJEB40763,PRJEB40764,PRJEB40762
159,OSD159_2019-06_1_NPL022,OSD159_2019-06,OSD159_2019-06_NPL022_1,SAMEA7422958,PRJEB40763,PRJEB40764,PRJEB40762
170,OSD170_2019-06_1_NPL022,OSD170_2019-06,OSD170_2019-06_NPL022_1,SAMEA7422957,PRJEB40763,PRJEB40764,PRJEB40762
171,OSD171_2019-06_1_NPL022,OSD171_2019-06,OSD171_2019-06_NPL022_1,SAMEA7422956,PRJEB40763,PRJEB40764,PRJEB40762
172,OSD172_2019-06_1_NPL022,OSD172_2019-06,OSD172_2019-06_NPL022_1,SAMEA7422955,PRJEB40763,PRJEB40764,PRJEB40762
173,OSD173_2019-06_1_NPL022,OSD173_2019-06,OSD173_2019-06_NPL022_1,SAMEA7422954,PRJEB40763,PRJEB40764,PRJEB40762
174,OSD174_2019-06_1_NPL022,OSD174_2019-06,OSD174_2019-06_NPL022_1,SAMEA7422953,PRJEB40763,PRJEB40764,PRJEB40762
175,OSD175_2019-06_1_NPL022,OSD175_2019-06,OSD175_2019-06_NPL022_1,SAMEA7422952,PRJEB40763,PRJEB40764,PRJEB40762
176,OSD176_2019-06_1_NPL022,OSD176_2019-06,OSD176_2019-06_NPL022_1,SAMEA7422951,PRJEB40763,PRJEB40764,PRJEB40762
177,OSD177_2019-06_1_NPL022,OSD177_2019-06,OSD177_2019-06_NPL022_1,SAMEA7422950,PRJEB40763,PRJEB40764,PRJEB40762
210,OSD210_2019-06_1_NPL022,OSD210_2019-06,OSD210_2019-06_NPL022_1,SAMEA7422949,PRJEB40763,PRJEB40764,PRJEB40762
211,OSD211_2019-06_1_NPL022,OSD211_2019-06,OSD211_2019-06_NPL022_1,SAMEA7422948,PRJEB40763,PRJEB40764,PRJEB40762
219,OSD219_2019-06_1_NPL022,OSD219_2019-06,OSD219_2019-06_NPL022_1,SAMEA7422947,PRJEB40763,,PRJEB40762
223,OSD223_2019-06_1_NPL022,OSD223_2019-06,OSD223_2019-06_NPL022_1,SAMEA7422946,PRJEB40763,PRJEB40764,PRJEB40762
224,OSD224_2019-06_1_NPL022,OSD224_2019-06,OSD224_2019-06_NPL022_1,SAMEA7422945,PRJEB40763,PRJEB40764,PRJEB40762
227,OSD227_2019-06_1_NPL022,OSD227_2019-06,OSD227_2019-06_NPL022_1,SAMEA7422944,PRJEB40763,PRJEB40764,PRJEB40762
232,OSD232_2019-06_1_NPL022,OSD232_2019-06,OSD232_2019-06_NPL022_1,SAMEA7422943,PRJEB40763,,PRJEB40762
237,OSD237_2019-06_1_NPL022,OSD237_2019-06,OSD237_2019-06_NPL022_1,SAMEA7422942,PRJEB40763,PRJEB40764,PRJEB40762
238,OSD238_2019-06_1_NPL022,OSD238_2019-06,OSD238_2019-06_NPL022_1,SAMEA7422941,PRJEB40763,PRJEB40764,PRJEB40762
