ColumnTitle,Description,Datatype,Property,ObservablePropertyUrl,Unit,UnitUrl,Comment
Seawater Nutrients Concentration_Silicate,Silicate concentration parameters in the H2O column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/SLCA/,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,
Seawater Nutrients Concentration_Silicate_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Seawater Nutrients Concentration_Phosphate",,,,,,
Seawater Chemical Properties_pH,"Alkalinity, acidity and pH of the H2O column",xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/ALKY/,dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,
Seawater Chemical Properties_Dissolved Oxygen concentration,Dissolved oxygen concentration in the H2O column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/DOCC/,micromol/kg,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,
Seawater Chemical Properties_Dissolved Oxygen concentration_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Seawater Chemical Properties_Dissolved Oxygen concentration",,,,,,
Seawater Optical Properties_Downward PAR,Visible waveband radiance and irradiance measurements in the H2O column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/VSRW/,microE/m^2/s,http://vocab.nerc.ac.uk/collection/P06/current/UM2S/,
Seawater Optical Properties_Downward PAR_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Seawater Optical Properties_Downward PAR",,,,,,
Seawater Optical Properties_Turbidity,Transmittance and attenuance of the H2O column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/ATTN/,FTU,http://vocab.nerc.ac.uk/collection/P06/current/USTU/,
Seawater Optical Properties_Turbidity_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Seawater Optical Properties_Turbidity",,,,,,
Organic Matter Concentration (Amount or Mass)_DON,Dissolved organic nitrogen concentration in the H2O column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/TDNT/,mg/Ll,http://vocab.nerc.ac.uk/collection/P06/current/UMGL/,
Organic Matter Concentration (Amount or Mass)_POC,Particulate organic carbon concentration in the H2O column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/CORG/,microg/l,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/,
Organic Matter Concentration (Amount or Mass)_PON,Particulate organic nitrogen concentration in the H2O column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/NTOT/,microg/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,
Organism Concentration (Amount Volume or Mass)_Pigment concentrations,Concentration of pigments (e.g. chlorophyll a) extracted and analysed by fluorometry or HPLC,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/CPWC/,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,
Organism Concentration (Amount Volume or Mass)_Nano/Microplankton,Abundance of cells in the H2O column (+other avail. cell properties),xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/MATX/,per m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/,
ENA_BioSampleID,ENA biosample accession number,xsd:string,schema:identifier,,,,
ENA_BioProjectID_TargetGene18S,ENA bioproject accession number for the 18S target gene,xsd:string,schema:identifier,,,,
ENA_BioProjectID_TargetGeneMG,ENA bioproject accession number for the metagenomics work,xsd:string,schema:identifier,,,,
ENA_BioProjectID_TargetGene16S,ENA bioproject accession number for the 16S target gene,xsd:string,schema:identifier,,,,
