SiteID,Institute,Station name,County,OSD2014_StationName_ENA,OSD2018_StationName_ENA,OSD2019_StationName_ENA,Participated in OSD2014,Participated in OSD2018,Participated in OSD2019,,
OSD73,,Lima Estuary,POR,Lima Estuary,,,1,,,,
OSD74,Interdisciplinary Center of Environmental and Marine Research,Douro Estuary,PRT,Douro Estuary,Douro Portugal,,1,1.00,,,
OSD76,University of Urbino. Dep. of Biomolecular Sciences. Section of Environmental Biology,Foglia Italy,ITA,Italy - Foglia,,Foglia Italy,1,,1,,
OSD77,University of Urbino. Dep. of Biomolecular Sciences. Section of Environmental Biology,Metauro Italy,ITA,Italy - Metauro,,Metauro Italy,1,,1,,
OSD78,CoNISMa,Conisma Italy,ITA,Italy - CONISMA,Conisma Italy,Conisma Italy,1,1.00,1,,
OSD80,,Greenland - Young Sound,USA,Greenland - Young Sound,,,1,,,,
OSD81,Centre of Marine Sciences,Faro Ria Formosa Portugal,PRT,Ria Formosa lagoon,Faro Ria Formosa Portugal,Faro Ria Formosa Portugal,1,1.00,1,,
OSD88,,La Rochelle France,FRA,,La Rochelle France,,,1.00,,,
OSD90,,Etoliko lagoon,GRC,Etoliko lagoon,,,1,,,,
OSD91,Faculty of Sciences of Oujda,El Oualidia Morroco,MAR,Oualidiya (El oualidia),El Oualidia Morroco,,1,1.00,,,
OSD92,Institut Pasteur du Maroc,Casablanca Morroco,MAR,Casablanca,,,1,,,,
OSD93,Faculty of Sciences of Oujda,El Jadida Morroco,MAR,Eljadida,El Jadida Morroco,,1,1.00,,,
OSD94,,Saidia Marina,MAR,Saidia Marina,,,1,,,,
OSD95,,Singapore Indigo_V,SGP,Singapore Indigo_V,,,1,,,,
OSD96,,Sao Miguel Azores I,USA,Sao Miguel Azores I,,,1,,,,
OSD97,,Faial Azores,USA,Faial Azores,,,1,,,,
OSD98,,Sao Jorge Azores,USA,Sao Jorge Azores,,Miramare Italy,1,,1,,
OSD99,,C1 North Adriatic Italy,ITA,C1 North Adriatic Italy,,,1,,,,
OSD100,Hellenic Centre for Marine Research,Crete Greece,GRC,Crete - GOS,Crete Greece,,1,1.00,,,
OSD101,,Quinta do Lorde (Costa Sul),POR,Quinta do Lorde (Costa Sul),,,1,,,,
OSD102,,Marina do Funchal (Costa Sul),POR,Marina do Funchal (Costa Sul),,,1,,,,
OSD103,,Porto da Cruz (Costa Norte),POR,Porto da Cruz (Costa Norte),,,1,,,,
OSD105,,Cambridge Bay,USA,Cambridge Bay,,,1,,,,
OSD106,,REYKIS,ISL,REYKIS,,,1,,,,
OSD107,,Lisboa,POR,Lisboa,,,1,,,,
OSD108,,Alcochete,POR,Alcochete,,,1,,,,
OSD109,,RosÃ¡rio,POR,RosÃ¡rio,,,1,,,,
OSD110,,Figueira da Foz,POR,Figueira da Foz,,,1,,,,
OSD111,,Ria de Aveiro_1,POR,Ria de Aveiro_1,,,1,,,,
OSD113,,NE Iberian Atlantic - CascaisWatch,POR,NE Iberian Atlantic - CascaisWatch,,,1,,,,
