SiteID,Institute,Station name,County_ISO3,County_ISO2
OSD96,"Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory",Sao Miguel Azores I,USA,US
OSD97,"Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory",Faial Azores,USA,US
OSD98,"Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory",Sao Jorge Azores,USA,US
OSD99,Faculty of Sciences of Oujda,Miramare Italy,ITA,IT
OSD100,Hellenic Centre for Marine Research,Crete Greece,GRC,GR
OSD101,MARE - Marine and Environmental Sciences Centre,Quinta do Lorde (Costa Sul),PRT,PT
OSD102,MARE - Marine and Environmental Sciences Centre,Marina do Funchal (Costa Sul),PRT,PT
OSD103,MARE - Marine and Environmental Sciences Centre,Porto da Cruz (Costa Norte),PRT,PT
OSD105,University of Alaska Fairbanks,"Cambridge Bay, Nunavut, Canada",CAN,CA
OSD106,MATIS Ltd.,REYKIS,ISL,IS
OSD107,MARE - Marine and Environmental Sciences Centre,Lisboa,PRT,PT
OSD108,MARE - Marine and Environmental Sciences Centre,Alcochete,PRT,PT
OSD109,MARE - Marine and Environmental Sciences Centre,Rosário,PRT,PT
OSD110,MARE - Marine and Environmental Sciences Centre,Figueira da Foz,PRT,PT
OSD111,MARE - Marine and Environmental Sciences Centre,Ria de Aveiro_1,PRT,PT
OSD113,IPMA,NE Iberian Atlantic - CascaisWatch,PRT,PT
OSD114,IPMA & IPL,NE Iberian Atlantic - BerlengasWatch,PRT,PT
OSD115,MARE - Marine and Environmental Sciences Centre,Santa Cruz,PRT,PT
OSD116,MARE - Marine and Environmental Sciences Centre,Lagoa de Óbidos,PRT,PT
OSD117,IPMA,S Iberian Atlantic - Tavira Beach,PRT,PT
OSD118,"BioMERIT Research Centre / Environmental Research Institute, University College Cork",Lough Hyne,GBR,GB
OSD119,,Progreso,MEX,MX
OSD120,cinvestav,Dzilam,MEX,MX
OSD121,cinvestav,Celestun,MEX,MX
OSD122,The Interuniversity Institute for Marine Sciences in Eilat (IUI),Aqaba Israel,ISR,IL
