Rank	Taxonpath	Taxon	ERR1	ERR10	ERR11	ERR12	ERR13	ERR14	ERR15	ERR16	ERR17	ERR18	ERR19	ERR2	ERR20	ERR21	ERR22	ERR23	ERR24	ERR25	ERR26	ERR27	ERR28	ERR29	ERR3	ERR30	ERR31	ERR32	ERR33	ERR34	ERR35	ERR36	ERR37	ERR38	ERR39	ERR4	ERR40	ERR41	ERR42	ERR43	ERR44	ERR45	ERR46	ERR47	ERR48	ERR49	ERR5	ERR50	ERR52	ERR53	ERR54	ERR55	ERR56	ERR57	ERR58	ERR59	ERR6	ERR62	ERR63	ERR64	ERR65	ERR66	ERR67	ERR68	ERR7	ERR8	ERR9
superkingdom	Main genome;Bacteria;Tenericutes	Tenericutes	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	4.0	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	2.0	None	2.0	None	None	None	None	1.0	None	1.0	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	None	9.25	7.0	12.6666666667	21.0833333333	None	13.0	None	10.0	None	9.0	11.0	None	None	None	None	9.25	7.0	None	21.25	13.0	None	None	None	9.5	14.0	6.5	None	None	37.3333333333	None	5.0	None	4.5	None	13.6666666667	7.25	3.0	None	35.0	26.5625	6.5	8.0	13.125	22.125	7.5	15.0	24.5625	15.0	26.1538461538	None	11.0	7.0	31.1428571429	10.25	4.0	18.0	13.6666666667	None	None	None	None	None	None	15.125
superkingdom	Main genome;Bacteria;Bacteroidetes	Bacteroidetes	9.0	110.266666667	64.5	104.9	88.0952380952	81.0	90.1428571429	71.1428571429	99.6666666667	75.0714285714	61.8928571429	67.6428571429	65.0833333333	82.2272727273	56.0	100.444444444	96.7368421053	90.0333333333	40.3333333333	61.4210526316	95.7794117647	68.3823529412	58.8928571429	37.5625	148.43220339	67.6944444444	134.375	56.2857142857	76.0714285714	68.025	92.1739130435	46.8888888889	54.3461538462	31.125	7.0	102.333333333	91.9230769231	13.5	57.5714285714	39.5	65.5434782609	72.3333333333	86.9705882353	102.333333333	86.6578947368	46.5	41.0833333333	23.6666666667	20.0	53.125	15.5	76.7647058824	91.0	98.1860465116	54.45	22.6666666667	58.5714285714	87.1428571429	82.1153846154	98.0	None	6.0	70.6428571429	60.8928571429	118.816666667
superkingdom	Main genome;Bacteria;Firmicutes	Firmicutes	8.0	2.0	None	2.5	4.0	None	None	None	None	None	None	8.0	None	None	None	None	None	None	1.0	None	4.0	None	None	9.16666666667	9.0	24.0	3.5	2.0	None	1.0	5.0	11.0	None	None	3.0	5.66666666667	5.16666666667	7.0	None	5.5	8.25	5.0	2.5	None	1.0	None	None	14.125	10.1666666667	None	None	None	None	34.4210526316	3.5	None	None	None	1.0	None	None	8.0	None	None	None
superkingdom	Main genome;Bacteria;Spirochaetes	Spirochaetes	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	5.0	None	3.0	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Cyanobacteria	Cyanobacteria	None	4.0	None	None	None	2.0	None	None	None	None	5.5	None	None	None	None	3.5	2.0	None	None	None	6.0	2.0	None	7.0	3.0	None	None	7.0	None	13.0	None	8.0	6.0	3.0	None	10.0	5.0	None	None	13.5	None	None	4.0	6.0	8.0	9.25	7.25	None	None	None	None	17.0	None	5.25	None	6.0	2.0	None	None	None	None	2.0	None	7.0	None
superkingdom	Main genome;Bacteria;Synergistetes	Synergistetes	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	None	35.0	17.4	28.0555555556	36.8888888889	18.5	30.4	21.0	19.6666666667	19.0	12.0	15.0	12.6666666667	None	18.0	21.0	21.25	15.3333333333	None	18.9	15.125	13.0	5.5	10.25	32.6666666667	18.25	28.0384615385	8.5	None	22.25	19.45	4.0	5.5	8.0	3.0	13.6666666667	7.0	None	4.25	11.5	11.125	6.0	20.6666666667	None	13.6666666667	None	4.0	13.6666666667	8.5	21.0625	9.0	12.5	None	14.6666666667	16.4	None	6.5	28.0	10.5	9.5	None	None	16.125	8.16666666667	18.0625
superkingdom	Main genome;Bacteria;Epsilonbacteraeota	Epsilonbacteraeota	None	2.5	None	None	None	1.0	None	None	1.0	None	None	1.0	None	None	None	None	None	None	None	None	19.0	2.0	None	None	18.0	1.0	14.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	2.0	4.16666666667	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None
superkingdom	Main genome;Bacteria;Deinococcus-Thermus	Deinococcus-Thermus	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
